Студенческий,№ этапа,Этап,Участник,IDteam,Название,Город,Организация ,Очки
Студенческий,1,Многоборье,arzamas-03-2004,,Арзамас-2004,Иркутск,ИГУ,212
Студенческий,1,Многоборье,ЮИ ИГУ-03-2004,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,203
Студенческий,1,Многоборье,fort_ross-03-2004,,Форт-Росс,Иркутск,ИГУ,168
Студенческий,1,Многоборье,911-03-2004,,911,Иркутск,,167
Студенческий,1,Многоборье,driver-03-2004,,Драйвер,Иркутск,БГУЭП,151
Студенческий,1,Многоборье,Парабеллум-03-2004,,Парабеллум,Иркутск,ИГУ,134
Студенческий,1,Многоборье,new_century-03-2004,,Новый век,Иркутск,,131
Студенческий,1,Многоборье,Суфии-03-2004,,Суфии,Иркутск,ИФ РГТЭУ,127
Студенческий,1,Многоборье,ГМП-03-2004,,ГМП,Иркутск,,126
Студенческий,1,Многоборье,Золотая молодёжь-03-2004,,Золотая молодёжь,Иркутск,БГИ,121
Студенческий,1,Многоборье,Бизнес-лидер-03-2004,,Бизнес-лидер,Иркутск,ИрГУПС,118
Студенческий,1,Многоборье,herodotus-03-2004,,Геродот,Иркутск,ИГУ,111
Студенческий,1,Многоборье,Птица говорун-03-2004,,Птица говорун,Иркутск,БГУЭП,96
Студенческий,1,Многоборье,Международный факультет ИГУ-03-2004,,Международный факультет ИГУ,Иркутск,Международный факультет ИГУ,75
Школьный,1,Многоборье,Перекрёсток-03-2004,,Перекрёсток,Иркутск,школа №26,132
Школьный,1,Многоборье,irk_gymnasium_students-03-2004,,Иркутские гимназисты,Иркутск,гимназия №3,131
Школьный,1,Многоборье,Кредо-03-2004,,Кредо,Иркутск,школа №11,119
Школьный,1,Многоборье,65.ру-03-2004,,65.ру,Иркутск,школа №65,116
Школьный,1,Многоборье,Гротеск-03-2004,,Гротеск,Иркутск,школа №11,113
Школьный,1,Многоборье,Тяжёлый случай-03-2004,,Тяжёлый случай,Иркутск,лицей №2,108
Школьный,1,Многоборье,LIM-03-2004,,LIM,Иркутск,лицей №2,108
Школьный,1,Многоборье,Знатоки-03-2004,,Знатоки,Иркутск,школа №10,106
Школьный,1,Многоборье,Симпомпули-03-2004,,Симпомпули,Иркутск,школа №26,106
Школьный,1,Многоборье,IQ-03-2004,,IQ,Иркутск,лицей №2,105
Школьный,1,Многоборье,Ума.НЕТ-03-2004,,Ума.НЕТ,Иркутск,православная женская гимназия,104
Школьный,1,Многоборье,СНГ-03-2004,,СНГ,Иркутск,гимназия №25,97
Школьный,1,Многоборье,Сократ-03-2004,,Сократ,Иркутск,гимназия №44,94
Школьный,1,Многоборье,Юная золотая молодёжь-03-2004,,Юная золотая молодёжь,Иркутск,БКПП,92
Школьный,1,Многоборье,Статус-03-2004,,Статус,Иркутск,школа №11,87
Школьный,1,Многоборье,Улетевшие-03-2004,,Улетевшие,Иркутск,Иркутский авиационный техникум,82
Школьный,1,Многоборье,Виктория-03-2004,,Виктория,Иркутск,школа №66,78
Школьный,1,Многоборье,Антиинтеллект-03-2004,,Антиинтеллект,Иркутск,школа №17,70
Школьный,1,Многоборье,OK-03-2004,,OK,Иркутск,школа №49,69
Школьный,1,Многоборье,Империя знаний-03-2004,,Империя знаний,Иркутск,лицей №2,68
Школьный,1,Многоборье,Баунти-03-2004,,Баунти,Иркутск,школа №66,51
Студенческий,2,Брейн-ринг,herodotus-03-2004,,Геродот,Иркутск,исторический факультет ИГУ ,100
Студенческий,2,Брейн-ринг,Золотая молодёжь-03-2004,,Золотая молодёжь,Иркутск,БГИ,50
Студенческий,2,Брейн-ринг,911-03-2004,,911,Иркутск,,35
Студенческий,2,Брейн-ринг,arzamas-03-2004,,Арзамас-2004,Иркутск,факультет филологии и журналистики ИГУ ,35
Студенческий,2,Брейн-ринг,Бизнес-лидер-03-2004,,Бизнес-лидер,Иркутск,ИрГУПС,35
Студенческий,2,Брейн-ринг,fort_ross-03-2004,,Форт-Росс,Иркутск,ИГУ,35
Студенческий,2,Брейн-ринг,ГМП-03-2004,,ГМП,Иркутск,,25
Студенческий,2,Брейн-ринг,driver-03-2004,,Драйвер,Иркутск,БГУЭП,25
Студенческий,2,Брейн-ринг,Международный факультет ИГУ-03-2004,,Международный факультет ИГУ,Иркутск,Международный факультет ИГУ,25
Студенческий,2,Брейн-ринг,new_century-03-2004,,Новый век,Иркутск,,25
Студенческий,2,Брейн-ринг,Парабеллум-03-2004,,Парабеллум,Иркутск,ИГУ,25
Студенческий,2,Брейн-ринг,Птица говорун-03-2004,,Птица говорун,Иркутск,БГУЭП,25
Студенческий,2,Брейн-ринг,Суфии-03-2004,,Суфии,Иркутск,ИФ РГТЭУ,25
Студенческий,2,Брейн-ринг,ЮИ ИГУ-03-2004,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,25
Школьный,2,Брейн-ринг,Сократ-03-2004,,Сократ,Иркутск,гимназия №44,100
Школьный,2,Брейн-ринг,Улетевшие-03-2004,,Улетевшие,Иркутск,Иркутский авиационный техникум,50
Школьный,2,Брейн-ринг,65.ру-03-2004,,65.ру,Иркутск,школа №65,35
Школьный,2,Брейн-ринг,Империя знаний-03-2004,,Империя знаний,Иркутск,лицей №2,35
Школьный,2,Брейн-ринг,irk_gymnasium_students-03-2004,,Иркутские гимназисты,Иркутск,гимназия №3,35
Школьный,2,Брейн-ринг,СНГ-03-2004,,СНГ,Иркутск,гимназия №25,35
Школьный,2,Брейн-ринг,Тяжёлый случай-03-2004,,Тяжёлый случай,Иркутск,лицей №2,35
Школьный,2,Брейн-ринг,Антиинтеллект-03-2004,,Антиинтеллект,Иркутск,школа №17,25
Школьный,2,Брейн-ринг,Баунти-03-2004,,Баунти,Иркутск,школа №66,25
Школьный,2,Брейн-ринг,Виктория-03-2004,,Виктория,Иркутск,школа №66,25
Школьный,2,Брейн-ринг,Гротеск-03-2004,,Гротеск,Иркутск,школа №11,25
Школьный,2,Брейн-ринг,Знатоки-03-2004,,Знатоки,Иркутск,школа №10,25
Школьный,2,Брейн-ринг,Кредо-03-2004,,Кредо,Иркутск,школа №11,25
Школьный,2,Брейн-ринг,Перекрёсток-03-2004,,Перекрёсток,Иркутск,школа №26,25
Школьный,2,Брейн-ринг,Симпомпули-03-2004,,Симпомпули,Иркутск,школа №26,25
Школьный,2,Брейн-ринг,Статус-03-2004,,Статус,Иркутск,школа №11,25
Школьный,2,Брейн-ринг,Ума.НЕТ-03-2004,,Ума.НЕТ,Иркутск,православная женская гимназия,25
Школьный,2,Брейн-ринг,Юная золотая молодёжь-03-2004,,Юная золотая молодёжь,Иркутск,БКПП,25
Школьный,2,Брейн-ринг,IQ-03-2004,,IQ,Иркутск,лицей №2,25
Школьный,2,Брейн-ринг,LIM-03-2004,,LIM,Иркутск,лицей №2,25
Школьный,2,Брейн-ринг,OK-03-2004,,OK,Иркутск,школа №49,25
Студенческий,3,Большая игра,arzamas-03-2004,2111,Арзамас-2004,Иркутск,факультет филологии и журналистики ИГУ ,90
Студенческий,3,Большая игра,fort_ross-03-2004,,Форт-Росс,Иркутск,ИГУ,90
Студенческий,3,Большая игра,herodotus-03-2004,,Геродот,Иркутск,ИГУ,70
Студенческий,3,Большая игра,Суфии-03-2004,,Суфии,Иркутск,ИФ РГТЭУ,70
Студенческий,3,Большая игра,911-03-2004,,911,Иркутск,,60
